RACE,RINCOME,VOLTEER,GENDER,EDUCATE,COUNT,DEV1,ADJDEV,DELTA1,COUNT1,DEV2,DEV3
1,4,0,1,16,.358854025602341,-.847176492214203,-.568955540657043,-.849099576473236,.343589961528778,-.828963160514832,-.786183893680573
1,12,0,0,16,.435378640890121,-.933143734931946,-.680554270744324,-.933915495872498,.375564128160477,-.866676568984985,-.80464380979538
0,10,0,1,14,.310412287712097,-.787924230098724,-.488780915737152,-.789262771606445,.259537786245346,-.720468997955322,-.713943481445313
0,11,0,1,16,.40356308221817,-.898401975631714,-.63604474067688,-.900499224662781,.334396153688431,-.817797243595123,-.802066326141357
0,9,0,0,14,.225823059678078,-.672046184539795,-.32132288813591,-.673035979270935,.213568642735481,-.653557419776917,-.628675878047943
0,12,0,1,18,.524667203426361,-1.02437031269073,-.794275522232056,-1.02811217308044,.430845856666565,-.928273499011993,-.901066303253174
0,12,0,1,16,.427160829305649,-.92429518699646,-.669287621974945,-.926699757575989,.345113545656204,-.830799102783203,-.815582096576691
1,8,0,0,9,.168897524476051,-.581201374530792,-.175658196210861,-.581713259220123,.15227247774601,-.5518559217453,-.530960738658905
1,6,0,1,12,.266497254371643,-.730064749717712,-.407213568687439,-.730766713619232,.234813004732132,-.685292661190033,-.665979444980621
1,10,0,1,13,.370731055736542,-.861081957817078,-.587353944778442,-.861664652824402,.297649472951889,-.771556198596954,-.748401999473572
1,12,0,1,20,.852987766265869,-1.30612993240356,-1.12567138671875,-1.3107043504715,.689233422279358,-1.17408120632172,-1.09688580036163
1,12,0,0,16,.435378640890121,-.933143734931946,-.680554270744324,-.933915495872498,.375564128160477,-.866676568984985,-.80464380979538
1,11,0,0,16,.411326915025711,-.907002627849579,-.647133231163025,-.907691121101379,.363901108503342,-.853113234043121,-.791309297084808
1,10,1,0,12,.257585883140564,1.10814070701599,1.43652904033661,1.10882842540741,.226236566901207,1.19365882873535,1.26225197315216
1,12,1,0,13,.31983670592308,.958938360214233,1.25364136695862,.959613919258118,.269242912530899,1.07831740379334,1.15494000911713
0,1,0,0,11,.105290591716766,-.458891242742538,.0547429956495762,-.459735721349716,.118957437574863,-.487765163183212,-.473624378442764
1,12,0,0,12,.288590520620346,-.759724318981171,-.449477225542068,-.760320961475372,.240970730781555,-.694220066070557,-.659212708473206
0,12,0,0,16,.328927963972092,-.811083197593689,-.52048134803772,-.812808513641357,.293089091777802,-.765622735023499,-.730277717113495
1,11,0,1,8,.234697043895721,-.685123383998871,-.341094464063644,-.686240315437317,.176403060555458,-.593974828720093,-.593157052993774
0,12,0,0,16,.328927963972092,-.811083197593689,-.52048134803772,-.812808513641357,.293089091777802,-.765622735023499,-.730277717113495
0,12,0,1,15,.385429680347443,-.877985954284668,-.609528064727783,-.880006492137909,.308874517679214,-.785970091819763,-.775931119918823
0,10,0,1,10,.205756634473801,-.641492962837219,-.274065315723419,-.6424800157547,.166525512933731,-.577105760574341,-.584905505180359
0,12,0,1,18,.524667203426361,-1.02437031269073,-.794275522232056,-1.02811217308044,.430845856666565,-.928273499011993,-.901066303253174
0,12,0,0,15,.296793580055237,-.770446121692657,-.464516520500183,-.771875739097595,.262312918901443,-.724310576915741,-.69477391242981
0,1,0,0,10,.0950043052434921,-.435899764299393,.104826055467129,-.436632245779037,.106466174125671,-.461445927619934,-.450598269701004
0,9,0,1,12,.238762646913528,-.6910320520401,-.349944740533829,-.692025423049927,.201437324285507,-.634724080562592,-.635502696037292
0,12,0,0,12,.218029737472534,-.660347998142242,-.303411573171616,-.661336243152618,.188052818179131,-.61327451467514,-.598287522792816
0,12,0,1,13,.313799768686295,-.792211771011353,-.494687467813492,-.793793141841888,.247412800788879,-.703438401222229,-.702318489551544
0,12,0,1,16,.427160829305649,-.92429518699646,-.669287621974945,-.926699757575989,.345113545656204,-.830799102783203,-.815582096576691
1,12,0,1,12,.374776780605316,-.865767598152161,-.593521058559418,-.866793930530548,.283744007349014,-.753318011760712,-.736215889453888
1,12,1,0,16,.435378640890121,.730640590190887,.98323005437851,.73124486207962,.375564128160477,.842484593391418,.950351715087891
1,12,1,1,16,.565402507781982,.520806849002838,.742457926273346,.52138340473175,.442228257656097,.718550443649292,.788259267807007
1,12,0,0,16,.435378640890121,-.933143734931946,-.680554270744324,-.933915495872498,.375564128160477,-.866676568984985,-.80464380979538
0,12,1,0,16,.328927963972092,.938982963562012,1.22958481311798,.94098037481308,.293089091777802,1.02016448974609,1.08486008644104
0,4,0,1,16,.271113723516464,-.736360907554626,-.41627025604248,-.738469839096069,.268136531114578,-.732306659221649,-.713523924350739
1,12,0,0,13,.31983670592308,-.799795866012573,-.505092859268188,-.800359308719635,.269242912530899,-.733815908432007,-.692899227142334
