id,age,educ,polviews,spanking,gender
2617,49,12,4, ,1
1028,49,12,4,2,1
411,49,12,5,2,1
273,49,12,4, ,1
1318,49,12,3, ,1
2740,49,12,6,2,1
2591,49,12,2, ,1
1105,49,12,4,3,1
2499,49,12, ,1,1
2879,49,12,5, ,1
1451,35,16,2,4,1
710,35,16,4,3,1
1776,35,16,4, ,1
405,35,16,3,1,1
545,35,16,3, ,1
66,35,16,4,2,1
2096,35,16, , ,1
727,35,16,6,2,1
457,32,16,4, ,1
375,32,16,2,4,1
1739,32,16,6,1,1
631,32,16,2,1,1
942,32,16,4,2,1
1282,32,16,5,2,1
1316,32,16,5,1,1
532,32,16,5, ,1
2009,43,12,5, ,1
2139,43,12,6,2,1
2595,43,12,2,1,1
2637,43,12,4,1,1
1499,43,12,2,2,1
2060,43,12,1,3,1
1770,43,12,4,1,1
2527,43,12,6,2,1
2411,43,12,4,2,1
2461,43,12,4, ,1
2554,43,12,6,2,1
2552,43,12, , ,1
350,31,14,4,1,0
1947,31,14,6, ,0
1156,31,14,5,2,0
390,31,14,4, ,0
2356,27,16,2,2,1
2226,27,16,2,4,1
30,27,16,5, ,1
378,27,16,5,2,1
2029,27,16,3,3,1
1876,27,16,5,2,1
926,27,16, , ,1
853,27,16,3,2,1
2005,27,16,4, ,1
739,53,15,6, ,0
738,53,15,5,2,0
1774,53,15,6,1,0
2557,33,18,5,2,1
373,33,18,3,3,1
263,61,16,5, ,1
1515,61,16,6,2,1
955,37,16,5,2,0
2440,37,16,4,2,0
89,37,16,6,2,0
1449,45,20,3,3,0
2829,45,20,4, ,0
2018,89,14, ,2,1
2481,89,14,6,3,1
716,51,12,2,2,0
2037,51,12,2,2,0
53,51,12,4,2,0
1786,51,12,4, ,0
795,47,12,6,2,1
1493,47,12,4, ,1
2641,47,12,2,1,1
434,47,12,4,2,1
2795,47,12,3, ,1
1074,47,12, ,1,1
1674,47,12,6,2,1
1221,47,12,5,1,1
2619,47,12,4, ,1
1049,47,12,6,2,1
1373,47,12,4, ,1
629,47,12,4,3,1
2493,47,12,4,3,1
40,37,16,2,2,1
382,37,16, , ,1
624,37,16,5,1,1
217,37,16,1,4,1
1047,37,16,2,4,1
2822,37,16,6,2,1
971,37,16,4,2,1
2347,37,16,5,3,1
1218,37,16,4,4,1
2218,18,11,5,2,1
91,18,11,3,3,1
2810,18,11,4, ,1
2813,18,11,6,2,1
1086,45,12,3,3,0
364,45,12,4,2,0
2403,45,12,4, ,0
2069,45,12,4,2,0
2410,28,16,6,1,0
2128,28,16,5,2,0
1784,28,16,5, ,0
714,29,13,6,1,0
1961,29,13,6, ,0
1077,29,13,4,4,0
1486,29,13,4,2,0
1151,78,14,2,4,1
1698,78,14,2,2,1
1985,60,12,4, ,1
1024,60,12, ,1,1
2050,60,12,4,2,1
1887,60,12,4, ,1
1608,60,12,3,1,1
269,60,12,7, ,1
832,60,12,4,1,1
2749,60,12,4,1,1
1727,60,12,4,2,1
81,42,12, , ,0
1848,42,12,6,2,0
1262,42,12,6,1,0
1189,42,12,6,2,0
342,42,12,1,3,0
1855,42,12,4, ,0
1498,42,12,4,3,0
1673,42,12,2,2,0
513,42,12,3,4,0
512,42,12,6,1,0
2840,42,12,5,3,0
753,42,12,5,2,0
891,42,12, ,2,0
987,42,12,5,2,0
2758,37,12,3,4,0
1516,37,12,4, ,0
209,37,12,6,2,0
949,37,12, ,2,0
2221,37,12,4,2,0
2685,37,12,4, ,0
1605,37,12,4,2,0
1731,37,12,6,1,0
1751,37,12,7, ,0
338,37,12,4,4,0
1222,37,12,4, ,0
2079,37,12, , ,0
1597,37,12,5,1,0
58,37,12,3,1,0
2873,38,19,2, ,0
1369,38,19,3,2,0
192,75,16,4,1,0
1657,75,16,4,3,0
1137,50,16,2,2,0
396,50,16,5,3,0
746,50,16,5,4,0
1531,50,16,7, ,0
2625,50,16,3, ,0
758,50,16,5,2,0
1011,50,16,6, ,0
366,50,16,5,2,0
1772,48,16,6,1,0
645,48,16,4,3,0
1622,48,16,3, ,0
2834,48,16,4, ,0
322,48,16,5,2,0
742,48,16,6, ,0
1934,48,16,6, ,0
426,48,16,4,3,0
2155,46,12, ,2,1
2712,46,12,4,1,1
737,46,12,6, ,1
1881,46,12,4,1,1
1940,46,12,4, ,1
859,46,12,4, ,1
915,46,12,6,2,1
2282,46,12,2, ,1
1180,46,12,4,2,1
1371,32,15, , ,1
2181,32,15,5,2,1
2003,41,12,4,1,1
1100,41,12,6,2,1
1257,41,12,4,1,1
334,41,12,4, ,1
1084,41,12,4,3,1
2274,41,12,2,1,1
132,41,12,5,2,1
536,41,12,4,4,1
1928,41,12,3,3,1
2739,39,17,6,1,0
1900,39,17,6,2,0
835,39,16,6, ,1
1174,39,16,5,2,1
397,39,16,4,1,1
2719,39,16,4, ,1
1853,39,16,6,2,1
728,39,16,6,1,1
1392,24,15,3,3,1
1958,24,15,5,3,1
2857,56,15,3,2,0
2700,56,15,5,2,0
2204,42,13,6,3,1
600,42,13,6,1,1
28,27,17,5, ,0
1039,27,17, ,3,0
2727,38,16,6,1,0
2346,38,16,4,3,0
2220,47,15,7,3,0
1813,47,15,6,2,0
2145,40,12,3,2,0
1864,40,12,2,2,0
2025,40,12,1, ,0
2124,40,12,7, ,0
2223,40,12,4,2,0
760,40,12,5,3,0
564,40,12,3,2,0
823,40,12,6,1,0
2902,40,12,6,3,0
1448,40,12,6,3,0
1404,40,12,4,4,0
2601,20,12,4,2,1
1872,20,12,6,2,1
1322,20,12,4,3,1
2342,20,12,4, ,1
1107,20,12,5,2,1
1609,20,12,7, ,1
305,20,12,5,2,1
2660,20,12,7,3,1
1976,20,12,4, ,1
487,63,10,4, ,1
2622,63,10,3,1,1
1397,45,14,5,1,0
1215,45,14,6,1,0
1414,32,13,4,2,1
2704,32,13,4,3,1
1242,32,13,6,1,1
110,32,13, ,2,1
2626,32,13,5,1,1
298,32,13,4, ,1
1476,32,13,5,2,1
2307,67,12,4,2,1
2338,67,12,4, ,1
1974,67,12,6,1,1
2754,67,12,2,2,1
2488,67,12,4, ,1
2563,67,12,4,1,1
2484,37,17,4,1,0
458,37,17,4,2,0
1407,37,17,6,2,0
2258,37,17,7,2,0
1996,37,17,3,3,0
1743,37,17,3,3,0
1741,57,12,2, ,0
2497,57,12,5,2,0
1412,72,8,4,3,1
299,72,8,4,1,1
2645,40,12,3,1,1
1696,40,12,4,2,1
1385,40,12,4,4,1
511,40,12,3,1,1
2574,40,12, ,1,1
1431,40,12,4, ,1
2747,40,12,3, ,1
1926,33,16,4, ,1
854,33,16,4,2,1
615,33,16,6,3,1
147,33,16,3,2,1
1352,33,16,4,1,1
2367,54,8, ,2,1
2154,54,8,6,2,1
623,50,20,4,3,1
2407,78,18,6, ,1
1363,59,16,4,2,0
2647,59,16,4,1,0
2635,59,16,4,1,0
87,59,16,4,3,0
678,59,16,6,1,0
790,33,11,7, ,0
646,33,11,5, ,0
414,44,10,2,2,0
437,44,10,4,3,0
1665,60,18,5,2,1
547,56,18,5,2,1
972,65,17,7,2,1
573,63,20,4, ,0
2538,74,4,6,1,1
1501,74,4,1, ,1
595,30,19,3, ,1
1417,58,20,5,3,0
671,43,16,6,2,0
339,43,16,2, ,0
424,43,16,6,3,0
1833,43,16,4,2,0
190,43,16,4,3,0
1238,69,16,7,1,1
2270,66,16,6,2,1
2655,34,9,4,1,0
2621,34,9,4, ,0
1361,62,19,3,3,0
1274,59,16,3, ,1
612,58,16,2,1,1
736,57,16,4,3,1
90,34,20,3,3,0
2819,30,17,6, ,1
2268,54,18,6,2,0
2396,67,14,6,1,1
1852,47,15,4,2,1
1009,55,17,6,1,0
1298,54,14,4, ,1
1604,42,17,5, ,0
719,28,12,4, ,1
2853,28,12,5,2,1
1583,28,12,5, ,1
1599,28,12,4, ,1
2395,28,12,4,2,1
1465,46,16,4, ,0
570,46,16,2,2,0
473,46,16,4,2,0
1143,46,16,4,4,0
675,39,12,6,2,1
380,39,12,6, ,1
2466,39,12,6,3,1
558,39,12,2,2,1
720,39,12,4,3,1
2667,39,12,6,2,1
44,39,12,4, ,1
1125,39,12,4, ,1
2733,39,12,5,1,1
2842,39,12,4, ,1
2209,49,15,5,4,0
459,63,11,4,3,1
1317,21,13,6,1,1
251,64,10,6,1,1
2841,55,9,6,1,1
2681,64,8,4, ,1
1686,59,11,5,1,0
117,35,9,4,2,1
2176,72,9,4,2,0
2697,26,9,4, ,1
1342,46,10,7,2,0
1700,70,7,3, ,0
1551,73,10,2,1,1
349,73,10,4,2,1
2510,73,10, , ,1
974,37,18,6,3,1
1842,37,18,4, ,1
1562,70,12,5, ,1
2871,70,12,5,1,1
1527,70,12,6, ,1
1991,70,12,7,3,1
1517,70,12,4,2,1
1422,70,12,2,4,1
1867,70,12, , ,1
2376,70,12,5,4,1
105,24, , ,2,0
254,52, , , ,1
2576,77, , , ,1
456, , ,7, ,1
1977, ,14,4,2,1
1540,44, ,5,1,1
69, ,12,4,1,1
1865, ,9,3,3,1
1117, ,14,4,4,1
810,70, ,4, ,1
1503,33, , ,3,0
1478,30, ,4,2,1
1763,25, ,4,2,1
584, ,14,4, ,1
